XXXXXXXX, Nick
4/1/2005 11:26:08 AM
Set #1

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec    FT-LBS    Degrees      Degrees       DEG/SEC
  9960     -34.7      169.2           52         13.0
  9970     -36.8      169.2           52        -11.4
  9980     -39.9      168.9           51        -34.6
  9990     -45.1      168.3           51        -65.2
 10000     -44.1      167.4           50       -109.9
 10010     -40.7      166.2           49       -133.1
 10020     -41.0      164.6           47       -147.7
 10030     -36.8      162.8           45       -174.3
 10040     -30.5      160.5           43       -243.0
 10050     -28.2      158.2           41       -237.4
 10060     -28.2      155.8           38       -238.0
 10070     -26.7      153.4           36       -238.2
 10080     -29.0      151.0           34       -238.2
 10090     -31.6      148.6           31       -238.2
 10100     -34.4      146.2           29       -238.2
 10110     -38.5      143.9           26       -238.5
 10120     -42.0      141.5           24       -239.3
 10130     -43.0      139.1           22       -239.6
 10140     -42.7      136.7           19       -239.3
 10150     -39.4      134.3           17       -239.6
 10160     -35.0      131.9           14       -238.8
 10170     -28.5      129.5           12       -238.8
 10180     -22.8      127.1           10       -238.0
 10190     -17.7      124.7            7       -237.2
 10200     -12.7      122.4            5       -236.1
 10210      -7.7      120.0            3       -235.8
 10220      -4.4      117.7            0       -235.0
 10230      -4.6      115.5           -2       -190.3
 10240      -5.5      113.7           -4       -178.9
 10250      -1.0      112.4           -5       -125.6
 10260       3.6      111.4           -6        -96.6
 10270      11.9      110.6           -7        -79.8
 10280      25.4      110.0           -7        -54.3
 10290      50.3      109.7           -8        -30.3
 10300      64.2      109.6           -8          7.4
 10310      74.5      110.0           -7         43.9
